cidade;datetime;n_alertas;risco;regras;acao
UCI_Dataset;01/01/05 04:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;01/01/05 05:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;01/01/05 06:00;0;NORMAL;;Sem ação necessária.
UCI_Dataset;01/01/05 07:00;0;NORMAL;;Sem ação necessária.
UCI_Dataset;01/01/05 08:00;0;NORMAL;;Sem ação necessária.
UCI_Dataset;01/01/05 09:00;0;NORMAL;;Sem ação necessária.
UCI_Dataset;01/01/05 10:00;0;NORMAL;;Sem ação necessária.
UCI_Dataset;01/01/05 11:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;01/01/05 12:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;01/01/05 13:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;01/01/05 14:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;01/01/05 15:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;01/01/05 16:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;01/01/05 17:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;01/01/05 18:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;01/01/05 19:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;01/01/05 20:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;01/01/05 21:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;01/01/05 22:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;01/01/05 23:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;02/01/05 00:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;02/01/05 01:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;02/01/05 02:00;0;NORMAL;;Sem ação necessária.
UCI_Dataset;02/01/05 03:00;0;NORMAL;;Sem ação necessária.
UCI_Dataset;02/01/05 04:00;0;NORMAL;;Sem ação necessária.
UCI_Dataset;02/01/05 05:00;0;NORMAL;;Sem ação necessária.
UCI_Dataset;02/01/05 06:00;0;NORMAL;;Sem ação necessária.
UCI_Dataset;02/01/05 07:00;0;NORMAL;;Sem ação necessária.
UCI_Dataset;02/01/05 08:00;0;NORMAL;;Sem ação necessária.
UCI_Dataset;02/01/05 09:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;02/01/05 10:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;02/01/05 11:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;02/01/05 12:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;02/01/05 13:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;02/01/05 14:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;02/01/05 15:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;02/01/05 16:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;02/01/05 17:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;02/01/05 18:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;02/01/05 19:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;02/01/05 20:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;02/01/05 21:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;02/01/05 22:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;02/01/05 23:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;03/01/05 00:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;03/01/05 01:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;03/01/05 02:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;03/01/05 03:00;0;NORMAL;;Sem ação necessária.
UCI_Dataset;03/01/05 04:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;03/01/05 05:00;0;NORMAL;;Sem ação necessária.
UCI_Dataset;03/01/05 06:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;03/01/05 07:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;03/01/05 08:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;03/01/05 09:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;03/01/05 10:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;03/01/05 11:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;03/01/05 12:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;03/01/05 13:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;03/01/05 14:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;03/01/05 15:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;03/01/05 16:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;03/01/05 17:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;03/01/05 18:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;03/01/05 19:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;03/01/05 20:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;03/01/05 21:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;03/01/05 22:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;03/01/05 23:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;04/01/05 00:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;04/01/05 01:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;04/01/05 02:00;0;NORMAL;;Sem ação necessária.
UCI_Dataset;04/01/05 03:00;0;NORMAL;;Sem ação necessária.
UCI_Dataset;04/01/05 04:00;0;NORMAL;;Sem ação necessária.
UCI_Dataset;04/01/05 05:00;0;NORMAL;;Sem ação necessária.
UCI_Dataset;04/01/05 06:00;0;NORMAL;;Sem ação necessária.
UCI_Dataset;04/01/05 07:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;04/01/05 08:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;04/01/05 09:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;04/01/05 10:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;04/01/05 11:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;04/01/05 12:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;04/01/05 13:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;04/01/05 14:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;04/01/05 15:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;04/01/05 16:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;04/01/05 17:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;04/01/05 18:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;04/01/05 19:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;04/01/05 20:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;04/01/05 21:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;04/01/05 22:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;04/01/05 23:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;05/01/05 00:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;05/01/05 01:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;05/01/05 02:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
UCI_Dataset;05/01/05 03:00;0;NORMAL;;Sem ação necessária.
UCI_Dataset;05/01/05 04:00;1;MODERADO;R02_NO2_MODERADO;Monitorizar evolucão. Sensiveis reduzam atividade ao ar livre.
